0,0,2
0,1,0
0,2,0
0,3,0
0,4,0
1,1,5
3,2,1
1,3,1
2,0,1
1,0,3
0,1,0
1,4,0
2,2,6
2,4,0
0,0,2
0,1,0
0,2,0
0,3,0
0,4,0
0,0,1
0,1,0
0,2,0
0,3,0
0,4,0
3,0,1
3,4,0
1,1,1
1,3,1
0,0,2
0,1,0
0,2,0
0,3,0
0,4,0
1,1,3
1,3,1
1,0,3
0,1,0
0,3,0
1,4,0
0,0,2
0,1,0
0,2,0
0,3,0
0,4,0
1,0,2
1,2,0
1,3,0
1,4,0
2,1,6
2,3,0
0,0,2
0,1,0
0,2,0
0,3,0
0,4,0
0,0,2
0,1,0
0,2,0
0,3,0
0,4,0
1,1,1
1,3,1
2,2,1
0,0,2
0,1,0
0,2,0
0,3,0
4,2,0
1,0,1
1,1,0
1,3,0
1,4,0
<<<<<<< HEAD
End,9,10
=======
End,9,2
>>>>>>> 05be0f535b0b0705848bdca7f90a3c8d26ca40a9
